Country,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Mexico,f,90,2020-05-24,0,-1760.4804556883194,0,41924.255217425896
Mexico,f,90,2020-05-31,0,-1796.3268138503388,0,45154.11560859941
Mexico,f,90,2020-06-07,0,-1813.2676935167046,0,48384.67532359845
Mexico,f,90,2020-06-14,0,-1793.4565778974113,19.811115619293332,51615.933722314345
Mexico,f,90,2020-06-21,0,-1768.1019538465528,45.16573967015182,54847.890164720986
Mexico,f,90,2020-06-28,0,-1742.4631540880437,70.80453942866092,58080.54401087483
Mexico,f,90,2020-07-05,0,-1696.845817183924,116.42187633278058,61313.894940831626
Mexico,f,90,2020-07-12,73.24883387455264,-1623.5969833093714,189.67071020733323,64547.94295459138
Mexico,f,90,2020-07-19,73.24883387455264,-1607.0999200901374,206.16777342656724,67782.68805215407
Mexico,f,90,2020-07-26,161.57991178876648,-1518.7688421759235,294.4988513407811,71018.13023351973
Mexico,f,90,2020-08-02,161.57991178876648,-1500.0435366923045,313.22415682440004,74254.26949868834
Mexico,f,90,2020-08-09,161.57991178876648,-1457.3839349681994,355.88375854850534,77491.1058476599
Mexico,f,90,2020-08-16,161.57991178876648,-1454.264655847192,359.0030376695125,80728.6392804344
Mexico,f,90,2020-08-23,161.57991178876648,-1446.1695333406915,367.098160176013,83966.86979701187
Mexico,f,90,2020-08-30,161.57991178876648,-1472.5861319666578,367.098160176013,87205.79739739228
Mexico,f,90,2020-09-06,161.57991178876648,-1476.0002472651863,367.098160176013,90445.42208157564
Mexico,f,90,2020-09-13,161.57991178876648,-1496.8903869529556,367.098160176013,93685.74384956196
Mexico,f,90,2020-09-20,161.57991178876648,-1542.72223007488,367.098160176013,96926.76270135122
Mexico,f,90,2020-09-27,161.57991178876648,-1597.9430672785477,367.098160176013,100168.47863694344
Mexico,f,90,2020-10-04,161.57991178876648,-1632.9762347594583,367.098160176013,103410.89165633862
Mexico,f,90,2020-10-11,161.57991178876648,-1658.2155671184455,367.098160176013,106654.00175953674
Mexico,f,90,2020-10-18,161.57991178876648,-1673.019909774172,367.098160176013,109897.80894653781
